ID,Latitude,Longitude
311831,38.409253,-121.484009
311832,38.41246,-121.48468
311844,38.413138,-121.484436
311847,38.427441,-121.487404
311864,38.425092,-121.486901
311903,38.566948,-121.506049
311930,38.566287,-121.503555
311973,38.562963,-121.491176
311974,38.563563,-121.493321
312009,38.56453,-121.496992
312010,38.563789,-121.493211
312011,38.564698,-121.49663
312012,38.563078,-121.49057
312098,38.558884,-121.475138
312099,38.558836,-121.474779
312103,38.561005,-121.462852
312104,38.561005,-121.462852
312105,38.560833,-121.45929
312108,38.559006,-121.473917
312132,38.409697,-121.484102
312133,38.42863,-121.487657
312134,38.412564,-121.484319
312139,38.562532,-121.48956
312141,38.561712,-121.48654
312142,38.562021,-121.486585
312188,38.551231,-121.430307
312189,38.551231,-121.430307
312205,38.55209,-121.417282
312206,38.550732,-121.423637
312207,38.552881,-121.413747
312208,38.552086,-121.4173
312220,38.55435,-121.407106
312221,38.554268,-121.407459
312222,38.554757,-121.405336
312233,38.467834,-121.416092
312236,38.555045,-121.440194
312247,38.554761,-121.439683
312264,38.558393,-121.383725
312265,38.558393,-121.383725
312326,38.632837,-121.502546
312327,38.632837,-121.502546
312343,38.633144,-121.501332
312344,38.633144,-121.501332
312345,38.633144,-121.501332
312346,38.634292,-121.499778
312347,38.634292,-121.499778
312382,38.472175,-121.420424
312383,38.473911,-121.422212
312386,38.477202,-121.425725
312387,38.477234,-121.425761
312388,38.48154,-121.430356
312420,38.484941,-121.434178
312421,38.488781,-121.438055
312422,38.494914,-121.444557
312423,38.495093,-121.444747
312424,38.494088,-121.443683
312425,38.498256,-121.448118
312426,38.497663,-121.447492
312427,38.498159,-121.448297
312439,38.634771,-121.498277
312440,38.634771,-121.498277
312513,38.503254,-121.453395
312514,38.509693,-121.459386
312515,38.509693,-121.459386
312517,38.511798,-121.460836
312518,38.511624,-121.460746
312519,38.512953,-121.461432
312520,38.51236,-121.460827
312521,38.51236,-121.460827
312523,38.519554,-121.46462
312524,38.517605,-121.463566
312525,38.52394,-121.466959
312526,38.524356,-121.467177
312527,38.526685,-121.468411
312528,38.527234,-121.468703
312529,38.52516,-121.467601
312530,38.533712,-121.472405
312562,38.542033,-121.4737
